index,x8,y8,z8,visibility8,presence8,x_loc8,y_loc8,x7,y7,z7,visibility7,presence7,x_loc7,y_loc7,x12,y12,z12,visibility12,presence12,x_loc12,y_loc12,x11,y11,z11,visibility11,presence11,x_loc11,y_loc11,x14,y14,z14,visibility14,presence14,x_loc14,y_loc14,x13,y13,z13,visibility13,presence13,x_loc13,y_loc13,x16,y16,z16,visibility16,presence16,x_loc16,y_loc16,x15,y15,z15,visibility15,presence15,x_loc15,y_loc15,x24,y24,z24,visibility24,presence24,x_loc24,y_loc24,x23,y23,z23,visibility23,presence23,x_loc23,y_loc23,x25,y25,z25,visibility25,presence25,x_loc25,y_loc25,x26,y26,z26,visibility26,presence26,x_loc26,y_loc26,x27,y27,z27,visibility27,presence27,x_loc27,y_loc27,x28,y28,z28,visibility28,presence28,x_loc28,y_loc28,right_arm_angle,left_arm_angle,right_leg_angle,left_leg_angle,right_rip_angle,left_rip_angle,right_shoulder_angle,left_shoulder_angle,right_head_angle,left_head_angle,left_head_body_angle,right_head_body_angle,right_hand_right_rip_angle,left_hand_left_rip_angle,right_shoulder_right_foot_angle,left_shoulder_left_foot_angle,left_head_left_hand_angle,right_head_right_hand_angle,right_arm,right_arm2,left_arm,left_arm2,right_leg,right_leg2,left_leg,left_leg2,right_body,left_body,left_head,right_head,left_arm_left_foot,right_arm_right_foot,right_shoulder_right_foot,left_shoulder_left_foot,left_foot_right_foot,left_knee_right_knee,left_hand_right_hand,right_hand_right_head,left_hand_left_head,localized_right_arm_angle,localized_left_arm_angle,localized_right_leg_angle,localized_left_leg_angle,localized_right_rip_angle,localized_left_rip_angle,localized_right_shoulder_angle,localized_left_shoulder_angle,localized_right_head_angle,localized_left_head_angle,localized_left_head_body_angle,localized_right_head_body_angle,localized_right_hand_right_rip_angle,localized_left_hand_left_rip_angle,localized_right_shoulder_right_foot_angle,localized_left_shoulder_left_foot_angle,localized_left_head_left_hand_angle,localized_right_head_right_hand_angle,localized_right_arm,localized_right_arm2,localized_left_arm,localized_left_arm2,localized_right_leg,localized_right_leg2,localized_left_leg,localized_left_leg2,localized_right_body,localized_left_body,localized_left_head,localized_right_head,localized_left_arm_left_foot,localized_right_arm_right_foot,localized_right_shoulder_right_foot,localized_left_shoulder_left_foot,localized_left_foot_right_foot,localized_left_knee_right_knee,localized_left_hand_right_hand,localized_right_hand_right_head,localized_left_hand_left_head,target_class
55,381.557,398.637,-232.266,0.999586,0.999977,129.137,83.5747,456.048,394.957,-224.669,0.999691,0.999984,218.847,80.8475,347.517,478.84,-174.906,0.99985,0.999949,88.1435,143.011,508.912,514.068,-108.759,0.999925,0.999968,282.509,169.118,285.744,383.875,-322.695,0.985814,0.999672,13.7518,72.6349,538.108,669.765,-61.8958,0.937598,0.998631,317.67,284.502,274.325,285.862,-432.012,0.922566,0.988994,0.0,0.0,573.258,790.244,-182.969,0.89106,0.994868,360.0,373.786,398.894,778.327,-33.8295,0.99988,0.99988,150.017,364.955,496.91,766.959,33.615,0.999873,0.999915,268.056,356.53,507.212,982.184,84.5457,0.9637,0.99979,280.462,516.028,413.685,995.691,-21.5513,0.974635,0.999763,167.829,526.039,520.165,1138.97,436.543,0.94766,0.999051,296.061,632.22,409.518,1149.47,331.077,0.957496,0.998727,162.811,640.0,153,174,174,178,174,174,156,13,56,166,153,147,168,15,171,173,169,43,98,113,125,158,217,153,215,157,303,253,130,87,352,874,673,625,111,94,586,155,412,144,171,171,176,170,171,148,21,81,161,139,129,163,25,167,169,164,66,73,102,98,120,162,114,159,117,230,187,108,72,266,660,502,463,133,113,518,153,325,right_arm
56,385.572,400.306,-206.953,0.999729,0.999976,143.652,67.8977,461.184,397.46,-187.248,0.999815,0.999984,229.281,65.741,346.496,486.904,-130.393,0.999892,0.999956,99.3979,133.508,510.79,515.873,-65.5954,0.999953,0.999972,285.46,155.456,277.708,404.927,-280.298,0.989736,0.999776,21.4959,71.399,545.947,668.052,-8.52661,0.944888,0.998855,325.275,270.754,258.727,310.689,-415.058,0.932229,0.993554,0.0,0.0,576.609,788.061,-153.442,0.890772,0.995231,360.0,361.678,402.025,780.187,-28.9014,0.999869,0.999893,162.284,355.712,499.319,768.661,28.714,0.999878,0.999924,272.469,346.98,506.845,984.247,61.3022,0.973407,0.999801,280.992,510.317,414.954,994.906,-19.0762,0.975792,0.999759,176.926,518.393,520.922,1145.21,388.172,0.960221,0.998908,296.934,632.272,414.452,1155.41,304.264,0.969275,0.998678,176.357,640.0,151,178,176,177,172,175,150,15,64,170,154,144,164,16,171,174,170,50,96,107,123,156,215,160,215,161,298,253,128,95,361,858,671,629,106,92,573,155,407,145,178,174,175,169,173,144,22,85,166,144,130,159,23,167,171,167,70,74,99,97,121,163,121,163,122,230,191,105,79,277,663,512,476,120,104,510,158,323,right_arm
57,384.81,396.388,-184.771,0.999615,0.999972,138.708,80.3715,459.747,394.345,-194.134,0.999755,0.999981,227.236,78.848,348.903,478.729,-114.104,0.999847,0.999936,96.2878,141.775,512.133,513.055,-103.797,0.999933,0.999963,289.124,167.373,281.622,391.143,-262.597,0.982988,0.999684,16.8042,76.4606,542.758,669.901,-74.8004,0.952764,0.998406,325.303,284.336,267.397,288.611,-377.772,0.920359,0.991014,0.0,0.0,572.128,788.456,-188.156,0.909792,0.994826,360.0,372.746,399.276,774.869,-12.9408,0.999856,0.999872,155.797,362.613,497.795,764.448,12.7264,0.999851,0.9999,272.185,354.843,506.009,980.303,65.1464,0.964159,0.999745,281.889,515.81,411.536,986.139,0.836823,0.969478,0.999717,170.281,520.162,521.974,1140.7,364.881,0.95378,0.998359,300.749,635.42,409.807,1146.84,304.132,0.959771,0.998111,168.239,640.0,150,177,176,176,173,174,152,14,61,167,152,146,166,15,171,173,168,46,103,110,122,159,211,160,216,161,300,251,129,89,355,869,670,627,112,94,585,159,409,141,175,173,174,170,171,144,22,85,162,139,130,160,24,167,169,164,68,78,102,94,122,158,119,161,121,228,188,108,74,269,661,503,468,132,111,518,160,322,right_arm
58,389.238,394.082,-175.496,0.999643,0.99998,145.044,73.6022,459.082,390.584,-176.529,0.999733,0.999982,231.269,70.9703,352.614,477.573,-118.346,0.999911,0.999968,99.8304,136.418,514.314,511.143,-78.6983,0.999946,0.999974,299.456,161.674,280.498,394.525,-302.408,0.988623,0.999786,10.7989,73.9354,536.991,670.053,-52.1376,0.956769,0.998914,327.452,281.231,271.75,296.253,-469.694,0.940917,0.995568,0.0,0.0,563.355,797.013,-196.965,0.915664,0.996067,360.0,376.751,397.193,769.218,-27.4152,0.999889,0.99991,154.865,355.839,494.883,760.036,27.1926,0.999883,0.999925,275.467,348.93,514.156,976.745,54.7357,0.97153,0.999773,299.261,511.974,417.378,984.458,-19.926,0.981496,0.999814,179.785,517.776,531.839,1133.67,386.24,0.960451,0.998969,321.092,630.04,418.4,1146.91,292.208,0.974122,0.998832,181.046,640.0,144,176,175,178,176,170,147,12,64,163,150,147,164,14,174,169,165,47,98,109,129,160,216,162,217,157,295,249,132,91,338,863,672,622,114,97,579,152,419,133,174,171,177,174,164,139,20,90,156,135,130,157,23,171,163,158,71,74,108,100,122,163,122,164,120,226,188,113,77,256,665,510,468,140,119,521,162,331,right_arm
59,390.558,393.205,-228.283,0.99963,0.999984,140.805,81.0094,462.58,391.21,-234.453,0.999734,0.999987,230.651,79.5349,352.374,474.669,-151.634,0.999928,0.999977,93.1713,141.226,515.977,510.87,-125.653,0.999959,0.999981,297.263,167.984,283.676,377.861,-280.252,0.990389,0.999843,7.47055,69.667,542.934,670.0,-102.692,0.964252,0.999137,330.891,285.609,277.687,283.611,-366.712,0.94347,0.99472,0.0,0.0,566.268,797.18,-243.728,0.925474,0.996906,360.0,379.618,402.149,765.895,-22.1372,0.999882,0.999903,155.264,356.492,501.219,754.992,21.9513,0.999868,0.999919,278.852,348.434,517.218,973.176,51.8535,0.970604,0.9998,298.811,509.71,419.953,978.665,-19.9487,0.979863,0.999832,177.474,513.767,534.522,1137.0,366.559,0.960722,0.99904,320.397,630.804,418.328,1149.44,272.864,0.973588,0.998874,175.447,640.0,148,179,174,178,175,172,154,13,60,165,152,145,168,13,172,171,165,46,94,118,129,161,213,170,218,164,295,244,131,89,341,877,677,626,116,97,589,157,419,135,178,171,176,171,167,145,21,88,158,137,125,162,22,167,165,159,71,70,111,98,122,158,126,162,123,224,181,110,76,254,663,505,463,145,121,523,162,326,right_arm
60,394.754,392.491,-314.547,0.999706,0.999986,137.25,85.6841,468.67,391.198,-322.731,0.99979,0.999989,226.747,84.7182,356.224,467.676,-212.351,0.999936,0.999977,90.5971,141.866,524.278,512.195,-198.921,0.999957,0.999983,294.078,175.132,281.4,343.385,-277.489,0.993056,0.999801,0.0,48.9901,557.116,665.101,-144.369,0.961142,0.998951,333.837,289.39,303.876,277.824,-233.758,0.913608,0.994465,27.2147,0.0,578.723,787.694,-221.885,0.904708,0.996438,360.0,380.997,401.533,764.986,-16.2714,0.999903,0.999905,145.457,364.028,503.302,753.567,16.0289,0.999924,0.999953,268.679,355.495,522.603,975.177,25.0222,0.975451,0.999788,292.049,521.092,424.801,985.009,-53.3798,0.983405,0.999743,173.631,528.439,542.269,1131.43,349.095,0.959444,0.998541,315.862,637.851,429.066,1134.31,306.279,0.954385,0.998185,178.795,640.0,130,177,175,177,177,170,157,17,58,167,150,144,173,16,175,169,166,42,69,145,124,156,221,149,222,157,300,242,133,84,345,865,670,619,113,98,579,146,411,106,176,172,176,175,163,149,27,83,162,135,126,169,25,173,162,161,63,56,129,95,120,166,111,167,119,228,182,112,73,260,657,505,463,137,118,505,139,324,right_arm
61,396.216,387.106,-179.799,0.999539,0.999977,141.848,83.2679,468.002,385.354,-187.57,0.999695,0.999982,230.812,81.9723,357.561,466.156,-107.265,0.99993,0.999975,93.9431,141.721,521.886,501.527,-90.8333,0.999964,0.999982,297.591,167.877,286.883,365.96,-235.516,0.989479,0.999841,6.35166,67.631,548.607,655.038,-72.8242,0.96421,0.999109,330.705,281.391,281.757,274.499,-333.791,0.936527,0.994714,0.0,0.0,572.245,779.016,-218.638,0.920058,0.996452,360.0,373.068,408.278,762.146,-13.9377,0.999897,0.999914,156.797,360.593,507.945,751.602,13.7149,0.999884,0.999929,280.314,352.796,520.277,971.425,38.2692,0.975195,0.999812,295.597,515.346,422.386,975.569,-17.3829,0.981245,0.99983,174.28,518.41,536.897,1131.39,376.6,0.964703,0.999049,316.194,633.634,421.889,1140.0,310.598,0.973782,0.998981,173.665,640.0,148,179,176,177,174,173,154,13,61,164,151,144,168,13,172,172,165,47,91,122,126,155,213,164,220,160,300,250,128,87,354,876,676,630,115,97,582,160,407,135,178,173,175,170,169,146,21,89,158,136,124,162,22,167,167,159,72,67,114,96,118,158,121,163,120,227,185,108,75,264,663,504,466,142,121,518,164,318,right_arm
62,394.83,381.314,-205.066,0.999744,0.999983,155.539,79.1047,469.816,379.942,-222.835,0.999862,0.999989,237.923,78.0773,356.912,465.055,-104.267,0.999925,0.999975,113.88,141.787,522.571,497.034,-118.34,0.999972,0.999985,295.883,165.724,284.328,373.572,-231.921,0.988878,0.999874,34.1353,73.309,556.217,651.434,-79.1164,0.97244,0.999213,332.847,281.297,253.258,275.634,-375.46,0.945138,0.99505,0.0,0.0,580.931,772.473,-216.635,0.931899,0.996688,360.0,371.899,409.198,758.802,-0.440795,0.999914,0.99994,171.324,361.665,507.886,748.717,0.272802,0.99991,0.999951,279.748,354.116,516.345,965.769,20.8761,0.985162,0.999877,289.042,516.586,418.982,966.117,-5.6147,0.984337,0.999874,182.074,516.846,536.04,1130.01,349.867,0.979012,0.999301,310.68,639.524,421.693,1130.64,328.213,0.981111,0.99935,185.052,640.0,159,179,178,175,172,174,151,15,62,168,152,145,161,15,171,172,167,53,102,116,123,158,207,164,217,165,298,252,128,91,360,871,668,633,114,97,595,176,407,155,178,177,173,169,171,145,22,82,164,141,131,155,22,168,168,163,72,80,105,94,121,155,123,162,124,227,189,105,75,272,666,503,474,125,106,517,174,318,right_arm
63,397.825,370.764,-225.012,0.999631,0.999966,140.129,74.3307,472.615,365.967,-241.072,0.999796,0.999979,226.438,70.7122,363.366,456.857,-130.082,0.9999,0.999953,100.363,139.27,529.838,488.129,-120.502,0.999962,0.999974,292.475,162.857,286.961,368.796,-234.662,0.989042,0.999727,12.189,72.8462,567.378,641.434,-85.4851,0.964173,0.998322,335.797,278.492,276.399,272.219,-340.349,0.919351,0.991796,0.0,0.0,588.35,760.22,-249.616,0.899105,0.993238,360.0,368.091,410.556,746.435,-11.0288,0.999837,0.999872,154.821,357.693,509.102,738.115,10.9141,0.999842,0.999907,268.545,351.418,514.377,951.509,35.9171,0.975682,0.999745,274.632,512.377,422.791,957.682,-4.84583,0.978698,0.999732,168.941,517.033,528.1,1111.14,365.377,0.964609,0.998712,290.469,632.786,422.902,1120.71,312.709,0.971004,0.998548,169.068,640.0,145,176,176,176,174,173,148,18,62,168,150,148,164,16,172,172,167,47,97,116,120,157,211,163,213,160,293,250,134,92,356,861,666,623,105,91,579,156,410,136,174,174,174,171,170,140,27,84,164,137,134,158,25,168,168,162,67,73,110,92,123,159,122,161,121,225,190,113,76,273,661,505,469,121,105,514,158,325,right_arm
64,399.854,373.098,-282.694,0.999819,0.999984,141.919,66.1385,479.841,367.826,-297.514,0.999918,0.999992,236.028,62.1128,366.394,461.83,-151.034,0.999899,0.999957,102.552,133.886,529.239,489.984,-142.76,0.999968,0.999983,294.147,155.382,292.639,384.078,-255.364,0.986156,0.99978,15.7761,74.5216,559.563,642.657,-67.9223,0.949062,0.999185,329.824,271.95,279.231,286.474,-396.088,0.907397,0.99444,0.0,0.0,585.21,765.408,-215.008,0.87487,0.995693,360.0,365.671,406.156,743.622,-14.3234,0.999861,0.999903,149.334,349.038,502.136,735.482,14.1691,0.999896,0.999948,262.259,342.822,512.177,948.528,18.0106,0.979381,0.999866,274.073,505.486,420.32,953.239,-19.222,0.979505,0.99982,165.998,509.082,532.976,1117.97,307.547,0.974643,0.999171,298.544,634.859,423.361,1124.71,265.637,0.976637,0.999083,169.576,640.0,144,179,177,175,175,171,144,17,64,169,151,151,161,17,174,169,169,47,98,107,125,155,210,171,213,170,284,246,131,94,356,850,665,628,109,91,568,148,411,136,179,175,173,173,166,136,26,85,165,138,137,154,27,171,163,165,67,76,105,98,121,160,130,163,131,220,190,109,78,276,662,510,479,129,108,513,156,327,right_arm
