index,x8,y8,z8,visibility8,presence8,x_loc8,y_loc8,x7,y7,z7,visibility7,presence7,x_loc7,y_loc7,x12,y12,z12,visibility12,presence12,x_loc12,y_loc12,x11,y11,z11,visibility11,presence11,x_loc11,y_loc11,x14,y14,z14,visibility14,presence14,x_loc14,y_loc14,x13,y13,z13,visibility13,presence13,x_loc13,y_loc13,x16,y16,z16,visibility16,presence16,x_loc16,y_loc16,x15,y15,z15,visibility15,presence15,x_loc15,y_loc15,x24,y24,z24,visibility24,presence24,x_loc24,y_loc24,x23,y23,z23,visibility23,presence23,x_loc23,y_loc23,x25,y25,z25,visibility25,presence25,x_loc25,y_loc25,x26,y26,z26,visibility26,presence26,x_loc26,y_loc26,x27,y27,z27,visibility27,presence27,x_loc27,y_loc27,x28,y28,z28,visibility28,presence28,x_loc28,y_loc28,right_arm_angle,left_arm_angle,right_leg_angle,left_leg_angle,right_rip_angle,left_rip_angle,right_shoulder_angle,left_shoulder_angle,right_head_angle,left_head_angle,left_head_body_angle,right_head_body_angle,right_hand_right_rip_angle,left_hand_left_rip_angle,right_shoulder_right_foot_angle,left_shoulder_left_foot_angle,left_head_left_hand_angle,right_head_right_hand_angle,right_arm,right_arm2,left_arm,left_arm2,right_leg,right_leg2,left_leg,left_leg2,right_body,left_body,left_head,right_head,left_arm_left_foot,right_arm_right_foot,right_shoulder_right_foot,left_shoulder_left_foot,left_foot_right_foot,left_knee_right_knee,left_hand_right_hand,right_hand_right_head,left_hand_left_head,localized_right_arm_angle,localized_left_arm_angle,localized_right_leg_angle,localized_left_leg_angle,localized_right_rip_angle,localized_left_rip_angle,localized_right_shoulder_angle,localized_left_shoulder_angle,localized_right_head_angle,localized_left_head_angle,localized_left_head_body_angle,localized_right_head_body_angle,localized_right_hand_right_rip_angle,localized_left_hand_left_rip_angle,localized_right_shoulder_right_foot_angle,localized_left_shoulder_left_foot_angle,localized_left_head_left_hand_angle,localized_right_head_right_hand_angle,localized_right_arm,localized_right_arm2,localized_left_arm,localized_left_arm2,localized_right_leg,localized_right_leg2,localized_left_leg,localized_left_leg2,localized_right_body,localized_left_body,localized_left_head,localized_right_head,localized_left_arm_left_foot,localized_right_arm_right_foot,localized_right_shoulder_right_foot,localized_left_shoulder_left_foot,localized_left_foot_right_foot,localized_left_knee_right_knee,localized_left_hand_right_hand,localized_right_hand_right_head,localized_left_hand_left_head,target_class
45,437.716,632.943,-166.873,0.999976,0.999661,264.782,1.49036,505.88,661.646,-137.794,0.9999,0.999295,350.861,32.4295,333.128,756.08,7.45295,0.999947,0.999819,132.707,134.216,532.166,764.047,-82.4695,0.999945,0.999623,384.054,142.804,274.127,892.176,-29.8233,0.969271,0.998561,58.1994,280.911,655.657,760.489,-237.401,0.997886,0.999711,540,138.97,228.04,1021.51,-283.44,0.966557,0.996457,0.0,420.311,578.846,631.56,-508.327,0.993385,0.999627,443.002,0.0,360.138,1068.99,46.0127,0.999951,0.999884,166.815,471.495,477.535,1077.91,-46.0591,0.99997,0.999893,315.066,481.109,477.454,1318.91,-152.101,0.997362,0.999786,314.964,740.872,347.124,1310.61,104.017,0.991358,0.999499,150.382,731.924,482.645,1522.2,213.941,0.992736,0.9988,321.518,960.0,349.754,1501.38,518.504,0.991118,0.999009,153.703,937.554,176,60,176,178,171,170,28,101,163,102,155,134,26,170,173,169,33,161,137,148,150,123,241,190,240,203,314,318,105,161,895,495,745,759,134,130,524,441,78,175,56,175,178,170,168,32,102,162,105,151,129,30,169,172,167,39,160,151,164,169,155,260,205,259,219,338,345,115,187,967,539,803,819,169,164,610,495,97,left_head
46,439.778,637.001,-146.438,0.99995,0.999544,269.271,5.93762,508.001,664.686,-132.857,0.999826,0.999313,356.238,35.8194,335.815,758.612,39.0745,0.999921,0.999703,136.746,137.197,535.101,762.659,-84.4342,0.999942,0.999679,390.784,141.566,280.122,900.397,29.195,0.944972,0.998116,65.7518,290.231,652.157,757.819,-225.044,0.998019,0.999745,540,136.341,228.542,1024.82,-208.018,0.939205,0.995165,0.0,424.531,575.629,631.5,-474.922,0.993171,0.999616,442.447,0.0,363.276,1067.3,54.8515,0.99994,0.999856,171.751,470.373,479.875,1075.01,-54.9132,0.999966,0.999885,320.384,478.697,478.346,1316.34,-191.077,0.996815,0.9998,318.435,739.171,353.539,1311.87,104.167,0.988541,0.999437,159.339,734.353,485.218,1520.93,160.469,0.992222,0.998798,327.195,960.0,354.326,1500.26,513.384,0.987792,0.99891,160.343,937.684,178,61,177,177,172,170,26,102,160,103,154,134,27,172,173,169,32,161,134,152,147,117,244,188,241,204,309,317,101,159,894,491,741,759,132,124,524,441,75,178,56,177,177,171,168,30,103,159,106,150,128,31,171,172,167,38,160,149,168,167,149,264,203,260,221,335,344,111,186,966,537,800,820,168,159,613,497,93,left_head
47,441.299,644.406,-151.698,0.999868,0.998467,264.117,15.9149,512.942,667.761,-157.031,0.999627,0.998338,354.37,41.1445,341.201,766.525,37.5882,0.999765,0.998636,138.018,147.833,538.476,762.364,-110.745,0.999904,0.999357,386.537,143.339,284.354,903.305,47.622,0.880032,0.996146,66.4046,295.588,660.295,749.112,-254.685,0.997399,0.999641,540,129.023,231.642,1027.49,-166.142,0.83081,0.985274,0.0,429.735,583.16,629.673,-505.017,0.987949,0.999255,442.828,0.0,365.615,1069.1,65.6319,0.999893,0.999744,168.774,474.686,479.372,1073.36,-65.7207,0.999944,0.999817,312.08,479.287,478.608,1317.24,-205.25,0.991052,0.999593,311.118,742.734,357.007,1314.63,110.783,0.967294,0.99847,157.93,739.919,490.066,1518.36,140.155,0.981634,0.996834,325.552,960.0,358.746,1504.02,499.658,0.969493,0.997048,160.12,944.501,179,63,177,176,173,169,27,106,163,98,154,136,27,172,174,167,33,163,134,148,142,122,245,189,243,201,303,316,97,157,893,493,737,757,132,121,530,436,79,179,58,177,175,172,167,31,107,162,102,150,130,31,171,173,165,38,162,149,164,161,154,265,204,263,217,328,344,107,182,967,539,796,818,166,153,617,490,97,left_head
48,444.625,643.271,-153.229,0.999884,0.998814,268.085,21.8692,515.071,667.748,-134.357,0.999625,0.998714,357.144,48.035,342.56,765.407,24.4948,0.999815,0.998921,139.054,152.43,538.282,762.149,-81.0655,0.999915,0.999534,386.487,148.948,283.751,904.582,42.8286,0.882195,0.995673,64.7076,301.205,659.713,741.958,-182.189,0.997204,0.999686,540,127.364,232.567,1029.63,-141.558,0.820366,0.984652,0.0,434.874,582.312,622.813,-388.576,0.98729,0.999142,442.15,0.0,367.902,1072.24,50.9922,0.999914,0.999796,171.091,480.426,481.216,1077.25,-51.1267,0.999954,0.999855,314.343,485.784,481.724,1321.95,-163.786,0.991277,0.999653,314.985,747.363,358.671,1319.89,99.8813,0.971805,0.998648,159.422,745.163,492.262,1520.87,194.478,0.982217,0.997157,328.308,960.0,360.454,1506.14,498.92,0.970783,0.997399,161.675,944.253,179,66,177,177,173,169,27,109,163,94,155,135,27,172,174,168,31,162,135,151,142,123,247,186,244,199,307,320,97,159,902,493,740,760,132,123,536,440,80,179,60,176,176,171,167,32,110,161,98,151,129,31,171,173,166,36,161,148,166,160,155,264,199,261,213,329,344,105,183,966,534,792,813,167,155,620,492,97,left_head
49,448.38,643.041,-149.595,0.999955,0.999304,274.602,21.9955,516.908,669.482,-109.47,0.999774,0.998493,360.18,49.9027,341.657,763.362,19.3569,0.999901,0.999509,141.324,148.987,542.271,764.055,-46.2957,0.999904,0.999275,391.854,149.719,281.603,900.939,19.5579,0.955667,0.996329,66.3286,294.193,660.9,747.883,-145.715,0.996848,0.999534,540,132.65,228.49,1031.72,-181.826,0.934135,0.988573,0.0,432.22,592.282,622.201,-361.431,0.988455,0.999122,454.309,0.0,369.997,1072.47,34.5123,0.999885,0.999648,176.716,475.233,486.706,1077.66,-34.6032,0.999931,0.999709,322.464,480.712,483.939,1327.01,-149.489,0.996374,0.99961,319.009,743.883,359.473,1320.9,54.3417,0.987365,0.998748,163.574,737.44,489.069,1531.77,187.372,0.990052,0.997298,325.415,960.0,358.242,1507.25,439.503,0.98534,0.997447,162.036,934.119,178,69,177,177,172,170,28,107,162,97,154,133,28,170,173,169,34,161,141,150,143,119,248,186,249,204,310,318,97,160,915,492,744,769,133,124,547,446,88,178,63,177,177,170,168,33,108,160,101,150,127,32,169,171,167,40,160,153,163,157,149,262,196,263,216,328,338,104,184,968,527,785,813,165,155,627,493,106,left_head
50,453.417,644.208,-122.329,0.999788,0.997522,269.795,17.7846,524.524,667.44,-113.682,0.999393,0.997218,361.04,42.4205,352.699,764.434,48.7495,0.999646,0.997092,140.552,145.279,548.307,762.839,-66.7276,0.999845,0.99881,391.558,143.588,292.533,904.906,78.9752,0.84026,0.991401,63.3477,294.243,663.988,748.172,-149.797,0.995847,0.9993,540,128.034,243.167,1031.01,-83.9575,0.752013,0.969116,0.0,427.966,580.884,627.438,-324.443,0.978866,0.998287,433.361,0.0,365.271,1070.27,50.5986,0.999804,0.99937,156.686,469.601,478.661,1077.19,-50.7207,0.999892,0.999536,302.188,476.941,485.193,1326.96,-169.608,0.988111,0.999032,310.57,741.81,353.096,1317.1,100.02,0.962424,0.996186,141.062,731.357,502.411,1532.71,154.127,0.973647,0.990745,332.664,960.0,351.862,1509.8,457.479,0.960529,0.991358,139.479,935.706,178,62,177,176,174,166,25,109,163,96,153,137,24,178,175,164,27,162,135,152,146,116,247,192,249,206,306,321,98,156,908,490,745,771,152,132,526,440,69,177,56,177,176,173,163,30,110,162,100,148,131,29,178,175,161,33,161,147,167,166,149,262,204,265,219,324,345,105,181,965,526,790,818,194,169,609,490,83,left_head
51,454.319,642.063,-139.469,0.999805,0.997791,266.206,25.5835,526.266,667.148,-122.27,0.999355,0.997288,356.992,51.844,351.557,761.563,33.4417,0.999688,0.997405,136.536,150.686,550.245,762.375,-69.7998,0.99984,0.998776,387.25,151.536,291.435,900.599,64.2529,0.853434,0.991803,60.6712,296.24,671.297,741.132,-145.405,0.995984,0.999346,540,129.296,243.354,1028.93,-99.2596,0.764461,0.972037,0.0,430.588,590.548,617.626,-317.669,0.980455,0.998294,438.106,0.0,370.417,1070.24,46.6281,0.999823,0.999433,160.334,473.836,485.182,1077.63,-46.7717,0.999901,0.999566,305.15,481.574,490.723,1328.29,-160.96,0.989242,0.999154,312.143,743.986,358.388,1318.38,98.5398,0.964498,0.996786,145.155,733.612,505.042,1534.63,170.186,0.977364,0.992449,330.211,960.0,355.706,1509.2,464.391,0.962445,0.993021,141.771,933.371,177,66,178,177,173,167,26,111,162,94,154,135,25,176,174,165,29,161,137,151,147,122,248,190,250,206,309,321,98,157,920,493,747,773,151,132,538,440,81,176,60,177,176,172,164,31,112,161,98,149,129,30,175,173,163,35,159,147,164,164,154,260,199,262,216,324,340,104,180,966,522,782,810,190,167,614,484,96,left_head
52,455.966,641.981,-178.427,0.999931,0.999045,271.344,17.6546,522.41,671.184,-111.636,0.999596,0.99735,353.648,48.617,347.011,761.529,-27.1616,0.999894,0.999538,136.381,144.403,544.724,765.935,-37.333,0.999863,0.998933,381.289,149.074,286.906,898.543,-31.3462,0.956481,0.995874,61.9295,289.669,672.851,743.959,-103.658,0.99645,0.999431,540,125.775,236.911,1031.37,-204.074,0.930158,0.986914,0.0,430.492,594.914,625.329,-287.58,0.987165,0.998555,443.46,0.0,378.415,1078.83,12.0399,0.999874,0.999702,175.282,480.812,494.713,1085.39,-12.1778,0.999908,0.999699,319.34,487.77,501.209,1331.93,-60.2496,0.995221,0.999438,327.387,749.156,377.784,1326.27,26.9883,0.988857,0.998727,174.5,743.159,496.494,1530.8,296.07,0.987125,0.997252,321.546,960.0,362.819,1519.13,373.826,0.988778,0.997406,155.963,947.627,176,66,175,177,174,169,29,108,161,93,157,132,27,169,172,170,32,159,141,149,141,129,247,193,246,198,318,323,97,161,910,503,757,766,134,123,541,446,85,176,60,174,176,173,167,33,108,160,97,154,126,32,167,171,169,38,158,153,163,158,160,262,205,261,210,338,344,104,185,967,540,803,813,166,153,618,494,102,left_head
53,456.613,642.189,-148.943,0.999779,0.998013,268.19,27.3209,527.388,668.02,-129.467,0.99931,0.997669,358.401,54.4876,351.929,763.476,27.3626,0.999746,0.998357,134.758,154.88,549.093,760.514,-82.4215,0.999874,0.99918,386.067,151.765,291.855,906.636,50.4003,0.851223,0.994306,58.1853,305.444,669.861,735.688,-171.625,0.996836,0.999549,540,125.655,246.205,1034.93,-120.669,0.786051,0.980638,0.0,440.375,586.349,616.211,-352.87,0.985277,0.998629,433.554,0.0,376.711,1075.11,51.7415,0.999878,0.999715,166.346,482.63,490.813,1080.76,-51.9146,0.999925,0.999768,311.782,488.567,492.647,1327.5,-134.456,0.987995,0.999387,314.119,748.072,369.882,1324.29,99.0063,0.966462,0.997974,157.64,744.7,502.75,1529.01,214.739,0.97645,0.995239,326.997,960.0,370.591,1521.98,458.615,0.969466,0.995822,158.544,952.608,176,66,178,177,173,169,27,111,161,91,156,134,25,175,174,168,27,160,136,155,145,123,249,197,246,201,312,325,95,160,916,502,758,769,132,122,539,445,78,176,59,177,177,172,167,32,112,160,96,151,128,30,175,173,165,33,158,146,168,164,156,262,207,259,212,329,344,101,184,965,536,798,810,168,156,617,492,92,left_head
54,459.76,641.498,-200.588,0.999949,0.999388,272.079,14.3312,525.776,671.422,-136.901,0.999689,0.998107,353.293,46.0081,349.82,761.969,-41.3959,0.999946,0.999786,136.831,141.858,546.408,765.981,-56.8378,0.999916,0.999327,378.673,146.105,282.013,903.641,-34.0604,0.96938,0.997711,53.4151,291.827,677.546,742.023,-120.665,0.997156,0.999627,540,120.744,238.593,1042.47,-203.385,0.950989,0.993189,0.0,438.793,598.497,627.96,-288.748,0.989023,0.999014,442.753,0.0,379.815,1078.81,19.4923,0.999883,0.999798,173.731,477.259,495.791,1086.1,-19.5969,0.999908,0.999771,316.404,484.977,503.653,1332.93,-56.7281,0.99547,0.999548,326.076,746.264,371.58,1319.27,19.6969,0.989902,0.999104,163.6,731.797,505.248,1534.84,295.071,0.988768,0.997624,328.038,960.0,358.926,1518.01,363.278,0.990466,0.998064,148.034,942.182,171,65,178,178,172,169,30,109,163,91,158,132,27,168,171,169,32,159,145,157,138,133,240,199,246,201,318,324,96,163,911,490,756,769,147,132,548,457,84,170,60,178,178,171,167,35,109,162,95,155,127,31,166,170,168,37,158,156,171,155,163,254,210,261,213,337,344,103,185,966,524,800,815,180,163,623,504,100,left_head
