index,x8,y8,z8,visibility8,presence8,x_loc8,y_loc8,x7,y7,z7,visibility7,presence7,x_loc7,y_loc7,x12,y12,z12,visibility12,presence12,x_loc12,y_loc12,x11,y11,z11,visibility11,presence11,x_loc11,y_loc11,x14,y14,z14,visibility14,presence14,x_loc14,y_loc14,x13,y13,z13,visibility13,presence13,x_loc13,y_loc13,x16,y16,z16,visibility16,presence16,x_loc16,y_loc16,x15,y15,z15,visibility15,presence15,x_loc15,y_loc15,x24,y24,z24,visibility24,presence24,x_loc24,y_loc24,x23,y23,z23,visibility23,presence23,x_loc23,y_loc23,x25,y25,z25,visibility25,presence25,x_loc25,y_loc25,x26,y26,z26,visibility26,presence26,x_loc26,y_loc26,x27,y27,z27,visibility27,presence27,x_loc27,y_loc27,x28,y28,z28,visibility28,presence28,x_loc28,y_loc28,right_arm_angle,left_arm_angle,right_leg_angle,left_leg_angle,right_rip_angle,left_rip_angle,right_shoulder_angle,left_shoulder_angle,right_head_angle,left_head_angle,left_head_body_angle,right_head_body_angle,right_hand_right_rip_angle,left_hand_left_rip_angle,right_shoulder_right_foot_angle,left_shoulder_left_foot_angle,left_head_left_hand_angle,right_head_right_hand_angle,right_arm,right_arm2,left_arm,left_arm2,right_leg,right_leg2,left_leg,left_leg2,right_body,left_body,left_head,right_head,left_arm_left_foot,right_arm_right_foot,right_shoulder_right_foot,left_shoulder_left_foot,left_foot_right_foot,left_knee_right_knee,left_hand_right_hand,right_hand_right_head,left_hand_left_head,localized_right_arm_angle,localized_left_arm_angle,localized_right_leg_angle,localized_left_leg_angle,localized_right_rip_angle,localized_left_rip_angle,localized_right_shoulder_angle,localized_left_shoulder_angle,localized_right_head_angle,localized_left_head_angle,localized_left_head_body_angle,localized_right_head_body_angle,localized_right_hand_right_rip_angle,localized_left_hand_left_rip_angle,localized_right_shoulder_right_foot_angle,localized_left_shoulder_left_foot_angle,localized_left_head_left_hand_angle,localized_right_head_right_hand_angle,localized_right_arm,localized_right_arm2,localized_left_arm,localized_left_arm2,localized_right_leg,localized_right_leg2,localized_left_leg,localized_left_leg2,localized_right_body,localized_left_body,localized_left_head,localized_right_head,localized_left_arm_left_foot,localized_right_arm_right_foot,localized_right_shoulder_right_foot,localized_left_shoulder_left_foot,localized_left_foot_right_foot,localized_left_knee_right_knee,localized_left_hand_right_hand,localized_right_hand_right_head,localized_left_hand_left_head,target_class
45,421.595,719.228,-61.6488,0.999734,0.998909,166.826,154.578,490.448,716.927,-99.0972,0.998159,0.997783,317.58,152.298,372.321,850.412,55.4806,0.99959,0.997355,58.9378,284.632,537.375,794.582,-58.771,0.999567,0.997316,420.328,229.283,355.126,1002.86,143.064,0.77365,0.987504,21.2893,435.765,592.032,664.863,-98.183,0.988928,0.999212,540.0,100.682,345.402,1134.44,50.3378,0.580844,0.970798,0.0,566.214,548.055,563.306,-90.1046,0.949181,0.987779,443.712,0.0,414.867,1110.23,38.4685,0.99977,0.999437,152.093,542.208,516.138,1112.17,-38.5308,0.999834,0.999214,373.827,544.136,497.729,1359.96,-55.9385,0.902571,0.997952,333.522,789.784,421.03,1342.62,72.8841,0.87117,0.996407,165.587,772.598,483.991,1531.65,280.858,0.842113,0.986974,303.442,960.0,427.252,1524.94,352.867,0.854766,0.985856,179.212,953.344,177,133,179,179,172,179,15,160,165,53,145,150,14,178,172,179,33,164,131,153,110,140,232,182,248,172,263,318,90,140,970,398,676,739,57,78,606,422,164,175,93,179,179,163,179,33,145,154,96,118,120,31,177,163,178,58,152,132,155,139,175,230,181,248,172,273,318,128,168,970,426,679,740,124,168,719,444,197,left_arm
46,420.395,714.128,-51.9568,0.99973,0.999296,172.957,150.876,487.841,711.456,-106.635,0.998375,0.998838,325.106,148.243,371.628,846.901,66.7301,0.999503,0.997173,62.9472,281.702,533.961,789.634,-75.8908,0.999536,0.997805,429.144,225.275,350.505,1004.5,151.154,0.764233,0.987428,15.298,436.985,583.102,648.539,-131.475,0.990533,0.999225,540.0,86.2491,343.723,1141.22,61.7379,0.572286,0.982276,0.0,571.704,535.945,561.006,-75.1673,0.946158,0.992372,433.621,0.0,413.197,1108.4,47.502,0.999808,0.999667,156.722,539.364,513.043,1110.3,-47.5279,0.999855,0.999477,381.958,541.24,494.089,1356.72,-52.3053,0.929073,0.998583,339.2,784.047,419.932,1339.2,78.9458,0.900713,0.99731,171.915,766.783,485.493,1535.3,261.156,0.904121,0.990178,319.809,960.0,427.904,1522.05,371.294,0.878953,0.989575,189.897,946.948,175,132,179,178,172,179,16,164,167,49,145,150,14,176,173,179,31,165,136,159,99,149,230,183,247,178,264,321,90,141,975,390,677,747,59,76,611,433,157,169,90,178,176,163,178,37,149,156,92,118,119,32,172,164,179,54,152,135,162,136,177,227,181,246,177,274,319,129,170,966,420,677,742,130,168,717,454,183,left_arm
47,420.391,711.463,-48.7421,0.999749,0.99936,177.024,140.617,488.403,709.411,-109.618,0.998433,0.998807,323.835,138.584,370.555,843.83,74.7549,0.999568,0.997819,69.4458,271.713,534.751,788.772,-69.5696,0.999559,0.997952,423.882,217.183,349.026,1000.18,166.376,0.795816,0.990213,22.9734,426.566,588.544,646.904,-122.766,0.990245,0.999366,540.0,76.6778,338.383,1133.85,75.5188,0.564488,0.98507,0.0,558.944,536.795,569.483,-49.2064,0.923189,0.994304,428.294,0.0,409.623,1107.08,48.336,0.999783,0.999694,153.779,532.437,510.367,1109.19,-48.3148,0.999832,0.999467,371.246,534.527,491.92,1358.43,-63.4452,0.92991,0.998736,331.426,781.368,418.969,1338.27,73.3964,0.894109,0.997778,173.954,761.404,483.674,1538.79,243.938,0.90815,0.991187,313.626,960.0,428.572,1523.45,356.605,0.887148,0.99099,194.682,944.802,176,125,179,178,173,179,16,163,167,51,145,150,14,176,174,179,30,165,134,157,93,151,231,185,249,180,266,321,91,141,970,399,682,751,57,75,598,430,148,173,84,178,176,167,179,34,149,157,91,118,122,31,171,167,178,53,154,134,161,135,182,229,184,250,179,274,321,127,169,966,432,684,750,119,158,704,454,173,left_arm
48,414.197,704.923,-132.525,0.999717,0.998943,166.093,151.866,485.062,702.414,-167.794,0.997614,0.997593,316.078,149.421,361.953,838.686,-6.53039,0.999595,0.997347,55.5202,282.195,530.687,781.793,-99.9886,0.999505,0.996987,412.642,226.763,342.898,998.737,89.1635,0.769573,0.985775,15.1904,438.138,590.862,645.852,-138.533,0.987636,0.999155,540.0,94.3111,335.721,1138.28,5.27659,0.518773,0.968824,0.0,574.102,538.197,549.056,-126.763,0.928606,0.989931,428.536,0.0,405.087,1101.75,30.1025,0.999698,0.999413,146.811,538.51,507.164,1102.69,-30.0915,0.999775,0.999106,362.855,539.425,489.38,1351.78,-33.993,0.882189,0.998239,325.215,782.122,416.866,1336.7,70.4457,0.833723,0.996674,171.741,767.429,475.021,1534.35,273.086,0.857155,0.990918,294.825,960.0,424.223,1525.48,333.733,0.840089,0.98942,187.311,951.358,176,127,179,179,173,179,16,160,165,53,145,149,14,177,173,179,31,163,139,161,110,148,235,188,249,183,266,321,91,143,987,397,689,754,51,74,623,440,162,171,86,178,179,166,179,34,145,154,95,119,120,30,174,165,179,55,150,136,161,146,183,230,184,245,180,272,316,123,170,969,421,682,742,107,154,716,453,187,left_arm
49,414.263,704.548,-33.3828,0.999306,0.998849,168.401,64.2018,487.131,700.115,-106.189,0.995584,0.995985,326.657,59.4576,363.225,839.542,87.4908,0.999306,0.998131,57.555,208.67,534.296,789.134,-30.0737,0.999028,0.996264,429.092,154.724,349.399,994.897,197.736,0.871392,0.995509,27.5267,374.928,585.363,684.114,-39.1537,0.988783,0.999518,540.0,42.3333,336.724,1129.65,114.562,0.313475,0.983322,0.0,519.141,513.06,644.557,62.5649,0.500386,0.996799,382.97,0.0,401.005,1110.53,34.0896,0.999204,0.999233,139.606,498.674,504.47,1109.79,-33.8847,0.999262,0.99832,364.315,497.881,489.57,1356.92,-37.168,0.931961,0.997477,331.953,762.356,412.929,1344.35,87.1676,0.880358,0.996435,165.503,748.902,480.92,1541.6,232.958,0.917288,0.983845,313.168,960.0,421.789,1538.14,305.472,0.916205,0.983718,184.746,956.297,179,92,179,179,174,178,13,159,164,53,146,151,13,166,174,177,19,164,135,155,82,116,234,193,247,184,273,322,100,144,897,417,701,754,59,77,516,432,61,179,60,179,178,170,176,26,146,152,91,122,126,26,152,169,175,30,153,146,168,162,157,251,208,266,198,301,349,139,182,962,474,758,813,128,166,645,485,81,left_arm
50,414.19,702.643,-101.333,0.999703,0.999083,171.618,147.304,484.64,699.771,-153.22,0.997689,0.998091,320.166,144.498,362.742,837.972,19.9896,0.999556,0.997361,63.1367,279.523,531.836,780.52,-93.7744,0.999498,0.997604,419.681,223.391,342.996,996.954,109.27,0.800594,0.986194,21.5008,434.851,588.898,632.54,-137.603,0.992467,0.999297,540.0,78.8118,332.799,1130.53,20.8237,0.512375,0.976389,0.0,565.355,530.017,551.874,-77.1702,0.929142,0.992785,415.845,0.0,406.74,1103.41,34.2824,0.999726,0.999504,155.909,538.865,509.272,1105.54,-34.2914,0.9998,0.999201,372.103,540.946,492.908,1353.18,-38.0858,0.915741,0.998235,337.598,782.892,418.756,1335.27,74.6104,0.877435,0.996571,181.244,765.395,482.116,1534.46,282.659,0.893843,0.988438,314.843,960.0,427.762,1518.3,363.761,0.868185,0.987537,200.236,944.217,177,122,179,179,173,179,16,162,166,51,145,149,15,175,173,179,29,165,133,160,99,158,232,183,248,181,269,325,93,144,983,399,683,755,56,76,611,435,154,174,82,179,179,166,179,34,148,155,91,119,120,32,170,166,179,50,153,132,160,147,188,227,179,244,178,275,321,126,171,965,428,678,744,115,157,701,451,173,left_arm
51,417.258,709.263,-105.696,0.999535,0.998587,160.723,112.42,490.198,706.594,-174.433,0.996856,0.995942,308.886,109.717,364.155,844.299,31.2678,0.999365,0.997354,52.8539,249.217,536.617,789.893,-104.174,0.999267,0.996284,403.176,194.101,348.397,998.597,138.81,0.880463,0.991864,20.8457,405.528,603.975,658.091,-138.625,0.994357,0.999437,540.0,60.5802,338.135,1133.39,57.3063,0.437073,0.976366,0.0,542.081,528.722,598.29,-49.5719,0.777051,0.995185,387.139,0.0,403.846,1113.74,44.7772,0.999291,0.999043,133.48,522.174,507.715,1113.2,-44.6763,0.999446,0.998331,344.467,521.628,492.858,1361.82,-60.4139,0.941864,0.997291,314.288,773.489,414.039,1348.3,78.1706,0.894677,0.994941,154.183,759.796,487.504,1545.93,246.101,0.917979,0.9801,303.412,960.0,425.922,1534.47,356.782,0.902311,0.980171,178.322,948.389,178,101,178,178,174,178,14,158,164,56,145,150,13,172,174,177,26,163,135,155,96,148,234,186,249,184,272,324,95,145,948,410,692,757,62,79,568,431,114,177,65,177,176,168,176,28,144,153,93,121,125,26,165,169,175,43,151,138,159,164,191,238,190,253,186,284,332,126,174,963,443,710,772,125,160,666,458,134,left_arm
52,417.787,708.241,-95.0038,0.999648,0.999102,153.318,123.754,489.839,707.354,-155.634,0.997547,0.997793,300.93,122.883,364.048,844.227,42.095,0.999434,0.99755,43.2207,257.494,534.877,788.886,-90.4107,0.999375,0.997262,393.202,203.067,349.385,999.239,146.185,0.84957,0.991047,13.1815,409.944,606.531,646.182,-121.994,0.994019,0.999509,540.0,62.7207,342.951,1132.39,66.0507,0.452671,0.98003,0.0,540.895,539.82,582.407,-36.3584,0.857296,0.995006,403.329,0.0,407.438,1115.26,42.8935,0.99952,0.999357,132.114,524.05,510.284,1114.53,-42.8301,0.999647,0.998979,342.816,523.328,493.654,1366.96,-50.6251,0.93327,0.998328,308.746,771.587,418.135,1352.67,73.5259,0.87927,0.996475,154.031,757.536,488.953,1558.54,237.771,0.919892,0.98783,299.115,960.0,430.639,1541.16,351.803,0.888306,0.98743,179.647,942.906,177,107,178,177,173,179,14,157,163,55,146,149,13,177,174,178,30,162,133,155,92,159,237,188,252,191,274,326,93,146,977,418,700,771,60,76,584,430,134,174,68,177,175,166,178,29,142,151,95,122,122,27,173,168,176,51,149,131,155,150,203,234,187,250,188,280,324,122,173,965,440,698,762,120,155,674,444,159,left_arm
53,419.0,713.552,-98.2622,0.999393,0.998961,161.474,104.126,493.118,708.702,-161.449,0.995501,0.996899,312.367,99.1658,368.126,845.208,29.5325,0.999438,0.9982,57.9034,238.767,540.746,792.474,-62.3586,0.999219,0.997628,409.331,184.837,349.065,1002.15,147.696,0.902704,0.99367,19.0992,399.272,604.931,668.547,-69.2824,0.99483,0.999588,540.0,58.1007,339.684,1138.77,67.713,0.363584,0.981684,0.0,538.988,532.81,611.735,12.4205,0.682578,0.99716,393.174,0.0,410.403,1113.77,23.0434,0.99904,0.99874,143.973,513.421,512.961,1114.46,-22.9098,0.999218,0.997745,352.764,514.129,498.403,1359.19,-33.8136,0.862284,0.997132,323.127,764.404,422.741,1344.4,57.6469,0.774874,0.994912,169.09,749.281,487.009,1550.45,228.585,0.841522,0.982783,299.931,960.0,433.192,1536.21,273.646,0.804006,0.980689,190.368,945.436,177,100,179,179,174,178,15,157,165,57,145,149,14,172,174,178,27,164,136,158,91,139,230,192,245,191,271,323,96,141,939,408,694,759,55,77,561,432,104,174,65,179,179,168,177,30,143,156,94,121,125,28,165,168,177,43,153,141,165,157,182,237,197,252,196,287,334,129,169,964,448,718,782,110,154,667,463,127,left_arm
54,424.883,713.903,-112.644,0.999257,0.998467,161.361,108.949,498.23,710.099,-176.35,0.994665,0.996145,307.525,105.076,371.464,847.008,21.3904,0.999401,0.997545,54.9089,244.42,545.926,793.529,-80.8167,0.999321,0.99744,402.573,189.99,353.208,1006.24,140.78,0.870576,0.991803,18.5291,406.481,614.888,664.406,-89.7615,0.993839,0.999571,540.0,58.5707,343.91,1138.67,61.5683,0.339034,0.976936,0.0,541.274,541.364,606.859,-2.14377,0.70683,0.996588,393.482,0.0,414.74,1116.42,29.5067,0.99923,0.99896,141.149,518.625,518.851,1117.01,-29.3937,0.999398,0.998259,348.619,519.219,502.955,1361.47,-43.1643,0.923405,0.997378,316.941,768.029,425.906,1347.77,62.4705,0.861671,0.994768,163.401,754.092,492.315,1550.08,251.045,0.906092,0.983521,295.738,960.0,436.574,1534.14,323.786,0.868079,0.981849,184.659,943.772,177,99,179,179,173,178,15,156,164,57,145,149,14,173,173,178,28,163,132,160,93,146,231,186,244,188,272,324,96,143,944,406,690,758,57,78,567,432,111,175,65,179,179,167,177,30,143,154,94,122,124,27,167,168,177,45,152,136,166,157,190,236,190,250,193,287,333,127,172,964,442,711,777,112,154,669,461,135,left_arm
